,domain_name,number_of_answers,response_code,time
0,yoyopics.com,1,0,17.43896484375
1,ahintofhoney.com,1,0,107.93310546875
2,rawmmc.com,1,0,105.817138671875
3,rajdiscoms.com,1,0,10.904052734375
4,newsworks.co.kr,1,0,2842.388916015625
5,t-rob.net,1,0,106.555908203125
6,aftcra.com,1,0,9.343994140625
7,whs.gov.hk,2,0,9.907958984375
8,hozamplaza.hu,1,0,598.55322265625
9,blacksondaddies.com,1,0,11.8671875
10,topqpon.si,1,0,322.58203125
11,contracts.ir,1,0,11.43798828125
12,comwales.co.uk,1,0,13.91162109375
13,asianescorts.com,2,0,17.872314453125
14,poliis.ee,1,0,330.77197265625
15,lightswitchhelpwebsite.com,1,0,13.390869140625
16,dogaka.gov.tr,1,0,334.69482421875
17,thefuturebuzz.com,2,0,13.594970703125
18,buyphone.com.tw,1,0,150.422119140625
19,openmaps.eu,1,0,297.47900390625
20,incesto.blog,1,0,9.8681640625
21,airstop.sk,1,0,300.60693359375
22,friv6.info,0,3,9.282958984375
23,turismoeslovenia.es,1,0,222.691162109375
24,declarationprealable.fr,1,0,334.05517578125
25,komodolabs.com,1,0,200.195068359375
26,vietnambiz.org,1,0,153.98583984375
27,englishisgood.blogsky.com,1,0,221.640869140625
28,nclat.nic.in,1,0,174.45068359375
29,rlz.org.il,1,0,11.400146484375
30,rainbowfcu.com,2,0,9.998046875
31,mazda.fi,2,0,9.8759765625
32,brushopolis.myshopify.com,2,0,13.88525390625
33,sfcnclaser.com,2,0,344.501220703125
34,csw.ac.th,1,0,138.2138671875
35,elviajedetuvida.es,1,0,11.14892578125
36,ballsure.com,1,0,167.323974609375
37,randovelo.fr,1,0,12.790283203125
38,magnovianacosta.blogspot.com,2,0,104.024658203125
39,comerartadvisory.com,1,0,335.244140625
40,centroinox.it,1,0,14.44091796875
41,visit-vermont.com,1,0,10.042724609375
42,twce.org.tw,1,0,292.60791015625
43,stgeorgesweybridge.com,1,0,273.827880859375
44,reinforcing.com.au,1,0,15.53125
45,omastere.ru,1,0,13.89794921875
46,imarks.in,1,0,306.76806640625
47,sitesaid.ru,2,0,239.52978515625
48,edt02.net,1,0,10.0458984375
49,ourstravel.com,1,0,213.976806640625
50,fornacigrigolin.it,1,0,9.834228515625
51,spyonmen007.tumblr.com,2,0,12.350830078125
52,nissay-hp.or.jp,1,0,124.0322265625
53,girls-art.photos,12,0,634.5810546875
54,aulahispanica.com,1,0,147.836181640625
55,binomovietnam.com,1,0,15.25390625
56,milprogramaspc.blogspot.mx,2,0,106.274658203125
57,tengokunoumi.com,1,0,226.22509765625
58,proscitech.com,2,0,17.4052734375
59,ict.govt.nz,2,0,13.7919921875
60,teatregoya.cat,1,0,616.367919921875
61,thefashionbible.co.uk,1,0,218.013916015625
62,medicalgenomics.ru,1,0,430.23974609375
63,pctravelbookingengine.ca,2,0,17.722900390625
64,kottosoft.ucoz.com,1,0,320.9140625
65,xkbz.cn,0,3,199.810302734375
66,alfred-versatile.tumblr.com,2,0,13.472900390625
67,sattamatka.online,1,0,16.1328125
68,myguidereykjavik.com,2,0,115.7646484375
69,golicraft.no,1,0,13.97802734375
70,channellock.com,1,0,16.431884765625
71,greenwoodcarshow.com,4,0,13.402099609375
72,tokvila.lt,1,0,11.77685546875
73,lang-laser.de,1,0,193.94091796875
74,mediaevent.at,1,0,10.054931640625
75,qubena.com,1,0,117.770751953125
76,engawa.global,2,0,116.14892578125
77,kloptdatwel.nl,1,0,122.08251953125
78,milmag.pl,1,0,292.48388671875
79,ashford.gov.uk,1,0,541.822998046875
80,myvisualiq.com,2,0,13.823974609375
81,infominer.io,2,0,16.053955078125
82,unixcctv.com,1,0,11.764892578125
83,iciccongo.com,1,0,218.587890625
84,thaihothit.com,1,0,13.369873046875
85,ulov56.ru,1,0,322.822265625
86,fleekbabies.myshopify.com,2,0,11.311767578125
87,newsmake.net,1,0,152.504150390625
88,tiemposonline.com,1,0,291.678955078125
89,auto-insite.nl,1,0,13.92919921875
90,jumpstarter.hk,1,0,11.92724609375
91,gigameubel.nl,1,0,548.900146484375
92,showman1.com,2,0,9.375244140625
93,firewolfcounseling.weebly.com,3,0,11.828369140625
94,liquidagency.com,2,0,11.912109375
95,windows10top.com,1,0,26.11083984375
96,sopranos-locations.com,1,0,176.22607421875
97,pitts.be,1,0,285.696044921875
98,solarclarity.nl,1,0,556.235107421875
99,malteesser.com,1,0,203.939208984375
100,gwe24.pl,2,0,15.8662109375
101,wildpips.com,1,0,11.878173828125
102,aidcvt.com,2,0,20.71630859375
103,gremlintube.com,2,0,15.43896484375
104,cityofoviedo.net,1,0,157.984130859375
105,ssrs.cz,1,0,694.451416015625
106,wazp.io,1,0,111.68603515625
107,slubowisko.pl,2,0,14.11083984375
108,opioids.com,1,0,210.113037109375
109,eckeweb.com,1,0,123.987060546875
110,waterfordbikes.com,1,0,10.092041015625
111,transportforex.co.za,1,0,211.385009765625
112,isag.pt,1,0,316.302001953125
113,elblogdelmandointermedio.com,1,0,11.569091796875
114,attores.net,1,0,308.204833984375
115,qyvpn.com.cn,1,0,336.61083984375
116,levidom.com,1,0,13.297119140625
117,cbradioguide.com,1,0,19.89599609375
118,arsyusha.ru,1,0,632.3720703125
119,danstasteofsummer.com,1,0,11.717041015625
120,bookmeditationretreats.com,2,0,15.619140625
121,newarkmotorauctions.co.uk,1,0,14.116943359375
122,cleverblog.ru,1,0,316.181884765625
123,succeedms.com,3,0,16.06396484375
124,webermel.com.br,4,0,165.579833984375
125,northwestmusicscene.net,1,0,13.3671875
126,pantyhosed4u.com,1,0,212.5380859375
127,bareoaks.ca,1,0,231.51025390625
128,yggdrasil.pl,1,0,318.19921875
129,grishko.com.ua,1,0,634.44873046875
130,huaydeddee.blogspot.com,2,0,124.654052734375
131,uae-group.com,1,0,27.166015625
132,xvoiceover.com,1,0,1049.09619140625
133,szthks.com,1,0,316.27392578125
134,verticebs.com,1,0,11.8720703125
135,maihaoche.com,1,0,9.550048828125
136,loginmik.com,1,0,10.30712890625
137,hljkj.cn,1,0,9.30517578125
138,bedfordbulldogs.org,2,0,11.97998046875
139,hotelavailabilities.com,2,0,16.02099609375
140,bestmobiles.in.ua,1,0,618.802734375
141,chukchansigold.com,3,0,15.322998046875
142,carolinaravassa.com,3,0,104.547119140625
143,nestleprofessional.us,1,0,11.419921875
144,netbee.shop,2,0,17.7861328125
145,eporner.co,1,0,9.814208984375
146,danlawinc.com,1,0,11.926025390625
147,thereuschblog.com,1,0,9.884765625
148,iida-riho.com,1,0,166.655029296875
149,nnplus.ru,1,0,14.36474609375
150,myswitchblade.com,1,0,222.991943359375
151,bylinkopedie.cz,2,0,446.5693359375
152,sexlox.com,1,0,13.586181640625
153,englishgrammarexpress.com,2,0,11.958984375
154,au-agenda.com,1,0,326.14208984375
155,lapinkirjasto.fi,1,0,320.122314453125
156,oceanic.com.br,1,0,10.1337890625
157,kraftwurx.com,1,0,150.330810546875
158,nabu-natur-shop.de,1,0,299.674072265625
159,secand.jp,1,0,124.55908203125
160,theshackbook.com,1,0,103.967041015625
161,macekasyn.cz,1,0,384.2548828125
162,nickbb87.tumblr.com,2,0,11.3408203125
163,birdhouseskateboards.com,2,0,11.94580078125
164,soulboundstudios.com,3,0,15.59912109375
165,forstamps.ru,1,0,282.59716796875
166,oak.go.kr,1,0,443.755126953125
167,nigrizia.it,1,0,298.63818359375
168,inidhu.com,1,0,375.7529296875
169,whastapp.com,1,0,157.98974609375
170,vitadigest.com,2,0,210.1640625
171,nierautomata.xyz,1,0,13.828857421875
172,protelescope.com,1,0,12.69091796875
173,tbgym.com,1,0,299.890869140625
174,webcam-weather.eu,1,0,925.037841796875
175,ezmls.com,3,0,14.97998046875
176,ohioswallow.com,1,0,116.554931640625
177,mbus.co.za,1,0,492.01513671875
178,agiletesters.com.br,1,0,310.044189453125
179,spud.com,2,0,16.003173828125
180,greenwichpeninsulagolfrange.com,2,0,120.13916015625
181,premiercadeau.com,1,0,307.701171875
182,mediaonegroup.ch,1,0,323.93994140625
183,interviewkiller.com,1,0,220.115966796875
184,aniq.org.mx,2,0,219.151611328125
185,app12345.com,1,0,361.320556640625
186,itslb.com,2,0,15.719970703125
187,cyb114.com,1,0,1315.128662109375
188,deerantlerplus.com,1,0,13.828125
189,winds-score.com,1,0,12.257080078125
190,mobilecitywireless.com,1,0,269.669921875
191,hebamme4u.net,1,0,9.87109375
192,i--gu.ru,1,0,450.26513671875
193,wifepornpics.com,1,0,104.006103515625
194,sveza.ru,1,0,355.989990234375
195,6-6-w.com,1,0,225.605712890625
196,whamisa.de,1,0,194.592041015625
197,studnet.net.ua,1,0,324.1611328125
198,creditservice.su,1,0,375.02099609375
199,longsnake88.com,1,0,12.779052734375
200,hardbase.fm,1,0,17.63330078125
201,skia.org,1,0,13.968017578125
202,smartouch.no-ip.info,1,0,13.958251953125
203,blackeyedpeas.com,2,0,156.983154296875
204,exotic-erotics.com,1,0,11.492919921875
205,gimnastikasport.ru,1,0,329.435791015625
206,orsiitaliani.com,1,0,192.108154296875
207,screwsandmore.de,2,0,19.544189453125
208,booyakashaa.com,1,0,152.49609375
209,vse-kursy.by,1,0,620.110107421875
210,gmflymedia.com,4,0,317.3310546875
211,dewalt.com.mx,1,0,123.069091796875
212,dcmosquitosquad.com,2,0,13.44384765625
213,civ-wiki.de,1,0,294.64111328125
214,uchinghd.blogspot.in,2,0,107.928955078125
215,nonburari.jp,1,0,15.64306640625
216,51surfing.cn,1,0,230.412353515625
217,govco.co,1,0,197.555908203125
218,ifps.org.pl,1,0,212.136962890625
219,ponyturf.free.fr,2,0,292.318115234375
220,howardpianoindustries.com,1,0,13.8427734375
221,pitbook.com,1,0,414.626220703125
222,anteprojectos.com.pt,2,0,416.17724609375
223,handsfreelink.com,1,0,152.051025390625
224,love17789.tumblr.com,2,0,13.77978515625
225,webmaster.net.pl,1,0,614.802001953125
226,brivis.com.au,3,0,108.010009765625
227,bisnishack.com,1,0,453.86572265625
228,ifsanimal.com,1,0,44.52490234375
229,scryptmail.com,1,0,121.895263671875
230,hamradio.net.gr,1,0,981.875
231,handbalinside.nl,1,0,599.001708984375
232,hackadoll-anime.com,4,0,105.946044921875
233,pakistanaffairs.pk,1,0,113.411865234375
234,lntebg.com,1,0,165.616943359375
235,paktimes.pk,1,0,286.70703125
236,vpsforex.ru,2,0,108.031005859375
237,funnydogsite.com,2,0,161.983154296875
238,jsise.org,1,0,116.482177734375
239,edugroupe.com,1,0,295.64404296875
240,odishabuzz.com,1,0,585.43994140625
241,geronimo.it,4,0,308.77294921875
242,sarov.ru,1,0,585.822998046875
243,12voltdata.com,1,0,190.632080078125
244,dealersuite.com,1,0,236.06494140625
245,coindsk.com,1,0,161.96484375
246,h5datacenters.com,1,0,13.509765625
247,arsus.jp,1,0,130.676025390625
248,costatic.com,1,0,11.482177734375
249,playzo.de,1,0,297.802978515625
250,midtownatl.com,1,0,13.8701171875
251,ones-style.jp,1,0,130.05712890625
252,charpente-total-bricoleurs.wifeo.com,2,0,285.98583984375
253,vocabolaudio.com,1,0,165.923095703125
254,turboentrada.com,4,0,11.928955078125
255,nargil.org,1,0,11.7890625
256,gotvarstvo.bg,1,0,326.701904296875
257,xn--b1ahhahznja9a.xn--p1ai,1,0,453.8388671875
258,hyipcom.com,1,0,428.299072265625
259,pilkey.com,2,0,16.333251953125
260,brokenpaintbrush.com,1,0,217.61328125
261,guerciotti.it,1,0,314.17822265625
262,djembefola.com,1,0,236.10595703125
263,21474.tumblr.com,2,0,11.869873046875
264,eliquidmania.com,1,0,246.095947265625
265,vomit3d.com.br,3,0,312.73291015625
266,apasionadadelasredessociales.wordpress.com,3,0,15.34912109375
267,megacriativo.com,2,0,110.31005859375
268,oaa-accessibility.org,2,0,18.124267578125
269,briansclub.at,1,0,39.1259765625
270,lime-mortars.co.uk,1,0,16.544677734375
271,moritz.com,1,0,604.5439453125
272,uskudarsanat.com,2,0,331.51318359375
273,cue-products.com,1,0,260.132080078125
274,may-press.com,1,0,128.39013671875
275,kellenams.com,1,0,29.40478515625
276,sodomized.info,1,0,324.1845703125
277,privilegesletters.com,2,0,142.5048828125
278,intras.fr,1,0,309.98388671875
279,tnfactorydirect.com,1,0,32.013916015625
280,midlandchandlers.co.uk,2,0,31.19287109375
281,ohueli.net,1,0,282.255859375
282,xn--h1aagpbh6b.xn--p1ai,2,0,322.156494140625
283,fiatpandaclub.nl,1,0,554.423095703125
284,dosbrains.com,4,0,106.768798828125
285,litsoft.com.cn,1,0,401.227783203125
286,eshcosazehgostar.com,1,0,296.378662109375
287,cameraneon.com,1,0,10.97314453125
288,adiosatujefe.com,1,0,13.960693359375
289,messages.fr,1,0,576.955078125
290,casalprocuracasal.com,2,0,15.582763671875
291,bhagwati.org,1,0,112.505859375
292,dkilbo.com,1,0,157.2939453125
293,chujnia.pl,1,0,114.046875
294,harikesanallur.com,1,0,268.020263671875
295,sextube.space,1,0,200.2080078125
296,59gg.cc,12,0,12.100830078125
297,quantummachinerygroup.com,4,0,257.962158203125
298,netseenergy.fr,2,0,281.958740234375
299,guamjobsonline.com,1,0,170.950927734375
300,wrprates.com,1,0,209.442138671875
301,rpcmp.ru,1,0,13.6572265625
302,cpni.gov.uk,3,0,286.324951171875
303,mariohugo.com,1,0,158.06787109375
304,tetley.co.uk,2,0,10.94384765625
305,xn----gtbdmohbpajtp0j4b.xn--p1ai,1,0,624.958984375
306,adres-ip.pl,1,0,584.35791015625
307,radioswhplus.lv,1,0,356.013916015625
308,adcrescendo.com,1,0,306.444091796875
309,dealmonster.co.uk,2,0,13.43408203125
310,nzcermarking.org.nz,1,0,16.644287109375
311,kleuterportaal.nl,1,0,301.630859375
312,simsiki.ru,1,0,764.72802734375
313,streamslycs.com,1,0,307.625
314,macaulifestyle.com,2,0,13.868896484375
315,cruisesheet.com,2,0,20.325927734375
316,mattcromwell.com,2,0,13.4658203125
317,nordita.org,1,0,304.11181640625
318,studiomoniker.com,1,0,106.425048828125
319,appleismo.com,2,0,107.090087890625
320,psbbmillenniumschool.org,1,0,297.56982421875
321,tecidos.com.pt,2,0,302.10986328125
322,eccemergency.com,1,0,348.299072265625
323,barellolens.com,1,0,19.970947265625
324,icsoutsourcing.com,1,0,306.212158203125
325,kruchten.com,1,0,31.5439453125
326,tzsucai.com,1,0,378.816650390625
327,safari-lodge.fr,1,0,341.7919921875
328,tk.ac.kr,1,0,422.77490234375
329,foxdad.com,1,0,157.46435546875
330,cuisine.in.ua,1,0,620.9970703125
331,krups.com,2,0,121.919677734375
332,idss.com,3,0,13.34716796875
333,cuatrogatos.org,1,0,208.05517578125
334,tali.de,1,0,306.9560546875
335,webdelabelleza.com,1,0,296.8369140625
336,deloitteconference.com,1,0,196.272216796875
337,ohgratisporrfilm.com,1,0,225.969970703125
338,captaingeorges.com,2,0,13.352783203125
339,standon-calling.com,1,0,196.138916015625
340,webyeshiva.org,1,0,17.77490234375
341,picalica.net,1,0,106.599853515625
342,viralviralvideos.de,1,0,582.281982421875
343,pro12rugby.com,2,0,11.529052734375
344,hotbestporn.com,2,0,15.89306640625
345,onemorecoming.com,1,0,124.40283203125
346,pornos.com,1,0,415.72998046875
347,nickheaven.weebly.com,3,0,13.88916015625
348,blogram.jp,1,0,159.174072265625
349,eichsfeld-gymnasium.de,1,0,297.52685546875
350,wildeastfootball.net,2,0,15.782958984375
351,orville.com,2,0,14.3740234375
352,egapark-erfurt.de,1,0,297.97900390625
353,malignani.ud.it,1,0,284.051025390625
354,mp2energy.com,1,0,126.02490234375
355,fazergroup.com,1,0,14.201904296875
356,modeli3d.ru,1,0,307.77001953125
357,mygareclub.com,1,0,234.78515625
358,zdatainc.com,2,0,15.30908203125
359,blakeshelton.com,2,0,11.853759765625
360,india-ifs.com,1,0,402.15087890625
361,psgstream.net,2,0,17.952880859375
362,souznik-airsoft.ru,2,0,312.72705078125
363,euromillions.online,2,0,16.18896484375
364,12streetgym.com,1,0,161.322265625
365,riomarrecife.com.br,4,0,706.569091796875
366,myairbags.com,3,0,15.572265625
367,sharkfin.ru,1,0,536.510009765625
368,finfloor.com,1,0,152.41015625
369,sibelco.sharepoint.com,0,5,
370,incubator24.ru,1,0,795.425048828125
371,back-panel.jp,1,0,174.967041015625
372,alta-frequenza.corsica,1,0,298.194091796875
373,hannover24.ru,1,0,428.451904296875
374,mymusicradio.co.uk,1,0,29.7763671875
375,bookkeepingchef.com,1,0,106.4990234375
376,fekraneh.ir,1,0,672.486328125
377,childrensministryleader.com,1,0,13.43115234375
378,appsformarketers.com,1,0,212.7041015625
379,urlof.site,1,0,498.095703125
380,bitsum.biz,1,0,214.1767578125
381,encoded.io,2,0,19.20703125
382,e-tributs.cat,1,0,142.7021484375
383,massmedia.blog.ir,1,0,634.3662109375
384,agrolib.ru,1,0,457.597412109375
385,askbcb.tumblr.com,2,0,12.31494140625
386,vdmt.com.ua,2,0,15.56298828125
387,jobformodel.com,2,0,15.883056640625
388,eedirectory.com,1,0,200.555908203125
389,plus-skateboards.com,1,0,192.169921875
390,vwstockholm.se,1,0,19.345947265625
391,accurate.id,1,0,112.53271484375
392,bishopwatterson.com,1,0,11.421142578125
393,region-vysocina.cz,1,0,704.427978515625
394,venditacasette.com,1,0,292.781982421875
395,os-helper.ru,1,0,309.546630859375
396,tns.world,1,0,420.77392578125
397,elfon.com.pl,1,0,206.452880859375
398,sharing.org,1,0,126.310791015625
399,overdrive.io,1,0,16.613037109375
400,tranhtheuchuthap.vn,1,0,163.982177734375
401,diep.ie,1,0,287.707275390625
402,krishna.zp.ua,1,0,305.662109375
403,marquesdezas.blogspot.com.es,2,0,143.7568359375
404,charme-beauty.ru,1,0,632.3369140625
405,jinolog.com,1,0,151.666015625
406,next.cz,1,0,706.98486328125
407,shine.city,12,0,217.610107421875
408,comarch-cloud.pl,1,0,18.14306640625
409,alexandani.jp,3,0,15.52490234375
410,yonderauto.com,1,0,301.97900390625
411,cash-for-your-home.org,2,0,132.049072265625
412,ultrafractal.com,1,0,299.63232421875
413,elsaposabio.com,1,0,316.755859375
414,ozelguvenliksinavi.com,2,0,539.927001953125
415,abbymodels.com,9,0,408.817138671875
416,seo-zona.ru,2,0,17.234619140625
417,teaplus.com.tw,1,0,350.861083984375
418,piqza.de,2,0,299.47900390625
419,buylittlecigars.com,1,0,417.386962890625
420,webkype.com,1,0,294.958984375
421,sakanano.com,1,0,232.088134765625
422,quangphuong.vn,1,0,354.216064453125
423,suter.ch,1,0,300.60205078125
424,s0ciali5t.com,1,0,106.041748046875
425,coverfriends.org,1,0,476.31396484375
426,cuixx.com,1,0,13.2490234375
427,szyaoxin.com,1,0,12.0478515625
428,estilorenner.com.br,1,0,785.078125
429,channelcoast.org,1,0,557.810302734375
430,demidich.ru,1,0,619.472900390625
431,hortimail.over-blog.com,2,0,427.31689453125
432,wonkwang.ru,1,0,310.592041015625
433,stugon.com,2,0,15.892822265625
434,los3dragones.com,1,0,566.6552734375
435,actt.it,1,0,585.6669921875
436,fixturesanddisplays.com,4,0,226.68701171875
437,mainpath.com,2,0,15.404052734375
438,ataturkdevrimleri.com,2,0,17.77099609375
439,klassnenkiy.ru,2,0,108.372802734375
440,cera.be,1,0,575.1220703125
441,whiskyhammer.co.uk,1,0,16.77783203125
442,franceluxe.com,1,0,211.927001953125
443,morningfalls.com,1,0,149.85302734375
444,rankmyapp.com,2,0,154.501220703125
445,rapidepub.com,1,0,164.615234375
446,newsprawah.com,1,0,38.059814453125
447,trimbos.nl,3,0,45.031982421875
448,tracker.co.uk,1,0,119.498046875
449,caracter.ru,1,0,426.125
450,sarkaribanglacollege.gov.bd,1,0,319.8017578125
451,tattoodaze.com,12,0,226.4130859375
452,chanelpreston.com,2,0,25.56298828125
453,petmarket.rs,1,0,338.791015625
454,motovest.pt,1,0,694.4599609375
455,yekzendegi.blog.ir,1,0,617.787841796875
456,ketabcha.com,1,0,416.68115234375
457,cafea.fr,3,0,108.031982421875
458,menz.today,1,0,11.166748046875
459,xiglimited.com,1,0,12.142578125
460,drunkentop.com,1,0,281.865234375
461,himalayau.com,1,0,14.330810546875
462,lamar.edu.mx,1,0,453.84326171875
463,cellpack.com,1,0,298.684326171875
464,ado.immo,1,0,17.326904296875
465,carmanualsonline.info,3,0,18.697021484375
466,criticalmediaproject.org,1,0,17.05712890625
467,mundoportugues.org,2,0,17.995361328125
468,fjnet.cn,1,0,139.434814453125
469,kaloree1.com,1,0,13.40478515625
470,cinema-palace-cameo-metz.fr,1,0,576.298095703125
471,writethatscene.com,1,0,11.9296875
472,futsal-freak.com,1,0,273.570068359375
473,chinhgoc.vn,1,0,163.10888671875
474,js-company.ru,1,0,628.427001953125
475,trackermarine.com,1,0,13.273193359375
476,shodensha-inc.co.jp,1,0,120.52099609375
477,fliesendiscount.de,1,0,15.564697265625
478,ana-exjapan.com,1,0,149.838134765625
479,groundupmusic.net,1,0,108.46826171875
480,dialogimam.com,1,0,618.002197265625
481,drumazon.com,1,0,279.362060546875
482,vworker.com,4,0,260.458740234375
483,pharmacydepot.gr,3,0,240.27099609375
484,giveaway4.com,1,0,314.22119140625
485,wpanet.org,1,0,1423.7998046875
486,gzmk.ru,1,0,479.984130859375
487,greekcitytimes.com,2,0,17.66796875
488,spotnaked.com,1,0,12.42333984375
489,taquillaoficial.com,1,0,301.9541015625
490,inseminazioneassistita.it,1,0,29.569091796875
491,meucerebro.com,3,0,27.226318359375
492,knopnews2.com,2,0,28.38427734375
493,aifb.it,1,0,328.013916015625
494,meslekciyiz.com,1,0,434.246826171875
495,generosity.org.nz,4,0,23.318115234375
496,nexus.ao,1,0,429.97705078125
497,amazingchoice.com,12,0,216.730712890625
498,sprzedajemytkaniny.pl,1,0,197.43994140625
499,flo-cert.net,1,0,290.690185546875
500,gtalk.us,1,0,213.61376953125
501,steadyturtle.com,2,0,15.917236328125
502,peleg-design.com,1,0,153.976806640625
503,securitas.com.tr,1,0,15.8291015625
504,southdakotaworks.org,1,0,15.973876953125
505,hb-web-design.com,0,2,4020.129150390625
506,ihlassondakika.com,1,0,103.998046875
507,peep.asso.fr,1,0,294.370361328125
508,associatedbag.com,3,0,15.3369140625
509,flyuvet.it,1,0,16.019775390625
510,mukke.in,1,0,482.49609375
511,metric.ge,2,0,349.759033203125
512,besthostingsearch.org,1,0,165.915771484375
513,ecofinagency.com,1,0,284.644287109375
514,designdirectory.co.uk,1,0,193.8466796875
515,chaircrazy.co.za,1,0,157.447998046875
516,iruna-online.weebly.com,3,0,112.00390625
517,thecolonytx.gov,2,0,21.93896484375
518,gaypornlove.net,2,0,16.633056640625
519,drjeandoddspethealthresource.tumblr.com,2,0,13.255859375
520,wearewrkshp.com,1,0,12.619873046875
521,yamatojk.co.jp,1,0,121.440185546875
522,plazahollywood.com.hk,1,0,143.5009765625
523,ikalender.org,1,0,284.432861328125
524,capc-bordeaux.fr,1,0,616.577880859375
525,dgr.su,1,0,559.30712890625
526,3m.com.co,2,0,250.233154296875
527,bonoschile.com,1,0,201.59912109375
528,mauroscardovelli.it,1,0,284.425048828125
529,outy-store.fr,1,0,17.761962890625
530,ruletkacsgo.ru,2,0,150.52587890625
531,abraxasenergy.com,1,0,285.628173828125
532,airplantsupplyco.com,1,0,162.566162109375
533,loteriasantander.gov.co,1,0,232.1640625
534,sakums.com.ua,1,0,318.112060546875
535,exponential.jp,1,0,227.852783203125
536,themreport.com,2,0,16.167724609375
537,xwebbest.ru,1,0,453.853759765625
538,davidoffgeneva.com,2,0,11.70556640625
539,oceancredit.ro,2,0,326.190185546875
540,books-world.net,2,0,15.95361328125
541,phowd.com,1,0,11.665771484375
542,iopen.cn,1,0,512.375244140625
543,yatinmg.tmall.com,5,0,21.44384765625
544,femalefranchise.co.uk,1,0,220.439697265625
545,p-s-b.com,1,0,262.764404296875
546,barter.es,1,0,305.76806640625
547,gibrick.com,12,0,214.43798828125
548,rechtsanwaltsgebuehren.de,1,0,9.173828125
549,nolte-moebel.de,1,0,192.830078125
550,kaibicy.ru,1,0,663.693115234375
551,farmstay.co.uk,1,0,274.69091796875
552,oholocaustoanimal.wordpress.com,3,0,13.3828125
553,yogateachers.ru,1,0,314.539306640625
554,costumingdiary.com,1,0,151.491943359375
555,rueckenwind-luebeck.de,9,0,444.299072265625
556,piauiemfoco.com.br,1,0,915.678955078125
557,openbeelden.nl,1,0,551.384765625
558,elbalcondemateo.es,1,0,288.193115234375
559,hotbfvideos.com,1,0,118.47998046875
560,merlinprojects.com,3,0,16.999755859375
561,ajudadireito.com.br,1,0,498.4345703125
