,domain_name,number_of_answers,response_code,time
0,yoyopics.com,1,0,599.011474609375
1,ahintofhoney.com,1,0,283.69091796875
2,rawmmc.com,1,0,470.30908203125
3,rajdiscoms.com,1,0,478.014892578125
4,newsworks.co.kr,0,0,236.521240234375
5,t-rob.net,0,0,22.228759765625
6,aftcra.com,1,0,465.406005859375
7,whs.gov.hk,2,0,426.350341796875
8,hozamplaza.hu,0,0,324.115234375
9,blacksondaddies.com,0,4,
10,topqpon.si,1,0,371.75390625
11,contracts.ir,0,0,524.574951171875
12,comwales.co.uk,0,0,29.89306640625
13,asianescorts.com,2,0,40.128173828125
14,poliis.ee,0,0,226.44482421875
15,lightswitchhelpwebsite.com,0,4,
16,dogaka.gov.tr,1,0,865.654052734375
17,thefuturebuzz.com,2,0,81.924072265625
18,buyphone.com.tw,0,0,195.94287109375
19,openmaps.eu,0,0,286.41796875
20,incesto.blog,0,0,176.718994140625
21,airstop.sk,0,0,341.2578125
22,friv6.info,0,3,134.18798828125
23,turismoeslovenia.es,0,0,179.98779296875
24,declarationprealable.fr,0,0,368.0537109375
25,komodolabs.com,1,0,547.979248046875
26,vietnambiz.org,0,0,147.07861328125
27,englishisgood.blogsky.com,0,4,
28,nclat.nic.in,1,0,325.477783203125
29,rlz.org.il,0,0,533.780029296875
30,rainbowfcu.com,0,4,
31,mazda.fi,2,0,844.700927734375
32,brushopolis.myshopify.com,0,4,
33,sfcnclaser.com,2,0,515.35595703125
34,csw.ac.th,0,0,172.7490234375
35,elviajedetuvida.es,0,0,322.107666015625
36,ballsure.com,1,0,388.429931640625
37,randovelo.fr,0,0,450.819091796875
38,magnovianacosta.blogspot.com,0,4,
39,comerartadvisory.com,1,0,607.59375
40,centroinox.it,0,0,287.93310546875
41,visit-vermont.com,1,0,451.885009765625
42,twce.org.tw,0,0,160.44384765625
43,stgeorgesweybridge.com,0,0,180.388671875
44,reinforcing.com.au,0,0,290.171142578125
45,omastere.ru,0,0,495.882080078125
46,imarks.in,0,0,31.700927734375
47,sitesaid.ru,0,0,366.8330078125
48,edt02.net,0,4,
49,ourstravel.com,0,4,
