,domain_name,number_of_answers,response_code,time
0,yoyopics.com,1,0,19.4697265625
1,ahintofhoney.com,1,0,11.473876953125
2,rawmmc.com,1,0,13.76806640625
3,rajdiscoms.com,1,0,10.014892578125
4,newsworks.co.kr,1,0,880.67626953125
5,t-rob.net,1,0,151.902099609375
6,aftcra.com,1,0,9.974853515625
7,whs.gov.hk,2,0,39.85009765625
8,hozamplaza.hu,1,0,10.317138671875
9,blacksondaddies.com,1,0,12.22802734375
10,topqpon.si,1,0,775.25390625
11,contracts.ir,1,0,11.52880859375
12,comwales.co.uk,0,4,
13,asianescorts.com,2,0,185.592041015625
14,poliis.ee,1,0,561.9931640625
15,lightswitchhelpwebsite.com,1,0,155.97607421875
16,dogaka.gov.tr,1,0,676.755859375
17,thefuturebuzz.com,2,0,87.310791015625
18,buyphone.com.tw,1,0,12.489990234375
19,openmaps.eu,1,0,658.023193359375
20,incesto.blog,1,0,25.2568359375
21,airstop.sk,1,0,11.87890625
22,friv6.info,0,3,11.983154296875
23,turismoeslovenia.es,1,0,583.630859375
24,declarationprealable.fr,1,0,946.67919921875
25,komodolabs.com,1,0,11.88916015625
26,vietnambiz.org,1,0,566.28564453125
27,englishisgood.blogsky.com,1,0,12.50390625
28,nclat.nic.in,1,0,282.7080078125
29,rlz.org.il,1,0,11.111572265625
30,rainbowfcu.com,2,0,11.191162109375
31,mazda.fi,2,0,715.211181640625
32,brushopolis.myshopify.com,2,0,10.98388671875
33,sfcnclaser.com,2,0,2035.8564453125
34,csw.ac.th,1,0,408.4658203125
35,elviajedetuvida.es,1,0,1126.7509765625
36,ballsure.com,1,0,12.133056640625
37,randovelo.fr,1,0,57.942138671875
38,magnovianacosta.blogspot.com,2,0,196.534912109375
39,comerartadvisory.com,1,0,554.133056640625
40,centroinox.it,1,0,11.441162109375
41,visit-vermont.com,1,0,10.011962890625
42,twce.org.tw,1,0,11.52392578125
43,stgeorgesweybridge.com,1,0,744.403076171875
44,reinforcing.com.au,1,0,12.363037109375
45,omastere.ru,1,0,39.333984375
46,imarks.in,1,0,9.88330078125
47,sitesaid.ru,2,0,42.0009765625
48,edt02.net,1,0,12.31298828125
49,ourstravel.com,1,0,1376.35107421875
50,fornacigrigolin.it,1,0,11.859130859375
51,spyonmen007.tumblr.com,2,0,13.166015625
52,nissay-hp.or.jp,1,0,10.550048828125
53,girls-art.photos,12,0,420.23193359375
54,aulahispanica.com,1,0,443.044921875
55,binomovietnam.com,1,0,10.739990234375
56,milprogramaspc.blogspot.mx,2,0,300.016845703125
57,tengokunoumi.com,1,0,524.732666015625
58,proscitech.com,2,0,199.99609375
59,ict.govt.nz,2,0,11.200927734375
60,teatregoya.cat,1,0,10.33203125
61,thefashionbible.co.uk,1,0,11.436767578125
62,medicalgenomics.ru,1,0,671.72705078125
63,pctravelbookingengine.ca,2,0,12.557861328125
64,kottosoft.ucoz.com,1,0,11.838134765625
65,xkbz.cn,0,3,10.05419921875
66,alfred-versatile.tumblr.com,2,0,11.67578125
67,sattamatka.online,1,0,25.8212890625
68,myguidereykjavik.com,2,0,142.75
69,golicraft.no,1,0,37.239013671875
70,channellock.com,1,0,12.334716796875
71,greenwoodcarshow.com,4,0,13.29931640625
72,tokvila.lt,1,0,11.77099609375
73,lang-laser.de,1,0,10.139892578125
74,mediaevent.at,1,0,11.66015625
75,qubena.com,1,0,192.198974609375
76,engawa.global,2,0,341.97314453125
77,kloptdatwel.nl,1,0,306.063232421875
78,milmag.pl,1,0,704.56982421875
79,ashford.gov.uk,1,0,11.696044921875
80,myvisualiq.com,2,0,12.53173828125
81,infominer.io,2,0,41.634765625
82,unixcctv.com,1,0,63.965087890625
83,iciccongo.com,1,0,508.198974609375
84,thaihothit.com,1,0,64.186279296875
85,ulov56.ru,1,0,11.135986328125
86,fleekbabies.myshopify.com,2,0,11.8798828125
87,newsmake.net,1,0,12.365234375
88,tiemposonline.com,1,0,542.588134765625
89,auto-insite.nl,1,0,13.054931640625
90,jumpstarter.hk,1,0,58.156005859375
91,gigameubel.nl,1,0,1152.669921875
92,showman1.com,2,0,170.017822265625
93,firewolfcounseling.weebly.com,3,0,11.8818359375
94,liquidagency.com,2,0,11.6708984375
95,windows10top.com,1,0,267.678955078125
96,sopranos-locations.com,1,0,482.777099609375
97,pitts.be,1,0,11.9580078125
98,solarclarity.nl,1,0,1004.466064453125
99,malteesser.com,1,0,9.86328125
100,gwe24.pl,2,0,18.380126953125
101,wildpips.com,1,0,1512.58984375
102,aidcvt.com,2,0,56.43310546875
103,gremlintube.com,2,0,93.36865234375
104,cityofoviedo.net,1,0,18.375732421875
105,ssrs.cz,1,0,1375.19287109375
106,wazp.io,1,0,11.26416015625
107,slubowisko.pl,2,0,20.209716796875
108,opioids.com,1,0,13.49609375
109,eckeweb.com,1,0,504.811279296875
110,waterfordbikes.com,1,0,11.317138671875
111,transportforex.co.za,1,0,39.947998046875
112,isag.pt,1,0,634.030029296875
113,elblogdelmandointermedio.com,1,0,1756.44482421875
114,attores.net,1,0,831.828857421875
115,qyvpn.com.cn,1,0,1863.660888671875
116,levidom.com,1,0,706.37890625
117,cbradioguide.com,1,0,163.657958984375
118,arsyusha.ru,1,0,505.15625
119,danstasteofsummer.com,1,0,164.008056640625
120,bookmeditationretreats.com,2,0,189.700927734375
121,newarkmotorauctions.co.uk,1,0,29.79296875
122,cleverblog.ru,1,0,853.130126953125
123,succeedms.com,3,0,42.130859375
124,webermel.com.br,4,0,51.069091796875
125,northwestmusicscene.net,1,0,58.44970703125
126,pantyhosed4u.com,1,0,475.699951171875
127,bareoaks.ca,1,0,497.18310546875
128,yggdrasil.pl,1,0,501.466064453125
129,grishko.com.ua,1,0,14.013916015625
130,huaydeddee.blogspot.com,2,0,200.4150390625
131,uae-group.com,1,0,59.302001953125
132,xvoiceover.com,1,0,11.871826171875
133,szthks.com,1,0,1858.03515625
134,verticebs.com,1,0,557.787841796875
135,maihaoche.com,1,0,2804.539794921875
136,loginmik.com,1,0,11.8330078125
137,hljkj.cn,1,0,1691.972900390625
138,bedfordbulldogs.org,2,0,13.283203125
139,hotelavailabilities.com,2,0,71.969970703125
140,bestmobiles.in.ua,1,0,795.141845703125
141,chukchansigold.com,3,0,161.93701171875
142,carolinaravassa.com,3,0,372.34375
143,nestleprofessional.us,1,0,11.1357421875
144,netbee.shop,2,0,54.64208984375
145,eporner.co,1,0,127.374267578125
146,danlawinc.com,1,0,162.108154296875
147,thereuschblog.com,1,0,3418.1376953125
148,iida-riho.com,1,0,408.228271484375
149,nnplus.ru,1,0,333.56591796875
150,myswitchblade.com,1,0,572.38916015625
151,bylinkopedie.cz,2,0,816.09912109375
152,sexlox.com,1,0,60.519775390625
153,englishgrammarexpress.com,2,0,11.254150390625
154,au-agenda.com,1,0,520.94091796875
155,lapinkirjasto.fi,1,0,1116.374755859375
156,oceanic.com.br,1,0,1063.35107421875
157,kraftwurx.com,1,0,59.416748046875
158,nabu-natur-shop.de,1,0,708.97509765625
159,secand.jp,1,0,478.177978515625
160,theshackbook.com,1,0,105.998046875
161,macekasyn.cz,1,0,11.300048828125
162,nickbb87.tumblr.com,2,0,12.37109375
163,birdhouseskateboards.com,2,0,59.61279296875
164,soulboundstudios.com,3,0,197.8310546875
165,forstamps.ru,1,0,964.671875
166,oak.go.kr,1,0,585.854248046875
167,nigrizia.it,1,0,921.333984375
168,inidhu.com,1,0,60.00390625
169,whastapp.com,1,0,608.827880859375
170,vitadigest.com,2,0,865.478271484375
171,nierautomata.xyz,1,0,18.747802734375
172,protelescope.com,1,0,13.762939453125
173,tbgym.com,1,0,656.920166015625
174,webcam-weather.eu,1,0,862.251220703125
175,ezmls.com,3,0,68.029052734375
176,ohioswallow.com,1,0,222.620361328125
177,mbus.co.za,1,0,2308.17822265625
178,agiletesters.com.br,1,0,950.697021484375
179,spud.com,2,0,197.76806640625
180,greenwichpeninsulagolfrange.com,2,0,189.538818359375
181,premiercadeau.com,1,0,675.821044921875
182,mediaonegroup.ch,1,0,10.739013671875
183,interviewkiller.com,1,0,935.10009765625
184,aniq.org.mx,2,0,466.729248046875
185,app12345.com,1,0,1943.942138671875
186,itslb.com,2,0,86.73876953125
187,cyb114.com,1,0,458.58984375
188,deerantlerplus.com,1,0,162.325927734375
189,winds-score.com,1,0,168.409912109375
190,mobilecitywireless.com,1,0,454.541015625
191,hebamme4u.net,1,0,613.618896484375
192,i--gu.ru,1,0,938.810791015625
193,wifepornpics.com,1,0,247.93408203125
194,sveza.ru,1,0,766.677978515625
195,6-6-w.com,1,0,1015.701171875
196,whamisa.de,1,0,10.510009765625
197,studnet.net.ua,1,0,999.36572265625
198,creditservice.su,1,0,1146.96484375
199,longsnake88.com,1,0,170.02685546875
200,hardbase.fm,1,0,26.155029296875
201,skia.org,1,0,17.189208984375
202,smartouch.no-ip.info,1,0,13.9619140625
203,blackeyedpeas.com,2,0,61.781982421875
204,exotic-erotics.com,1,0,162.060791015625
205,gimnastikasport.ru,1,0,785.180908203125
206,orsiitaliani.com,1,0,736.6337890625
207,screwsandmore.de,2,0,87.17919921875
208,booyakashaa.com,1,0,696.18994140625
209,vse-kursy.by,1,0,927.594970703125
210,gmflymedia.com,4,0,874.66015625
211,dewalt.com.mx,1,0,75.2861328125
212,dcmosquitosquad.com,2,0,58.4150390625
213,civ-wiki.de,1,0,700.179931640625
214,uchinghd.blogspot.in,2,0,338.483154296875
215,nonburari.jp,1,0,31.440673828125
216,51surfing.cn,1,0,478.52880859375
217,govco.co,1,0,416.48779296875
218,ifps.org.pl,1,0,922.74169921875
219,ponyturf.free.fr,2,0,894.449951171875
220,howardpianoindustries.com,1,0,192.266845703125
221,pitbook.com,1,0,1255.24609375
222,anteprojectos.com.pt,2,0,45.45703125
223,handsfreelink.com,1,0,608.8701171875
224,love17789.tumblr.com,2,0,13.436767578125
225,webmaster.net.pl,1,0,516.822021484375
226,brivis.com.au,3,0,19.4169921875
227,bisnishack.com,1,0,1333.145263671875
228,ifsanimal.com,1,0,162.423095703125
229,scryptmail.com,1,0,167.51611328125
230,hamradio.net.gr,1,0,636.2939453125
231,handbalinside.nl,1,0,901.064208984375
232,hackadoll-anime.com,4,0,178.340576171875
233,pakistanaffairs.pk,1,0,205.9921875
234,lntebg.com,0,4,
235,paktimes.pk,1,0,611.7509765625
236,vpsforex.ru,2,0,348.175048828125
237,funnydogsite.com,2,0,89.727783203125
238,jsise.org,1,0,421.35400390625
239,edugroupe.com,1,0,827.48779296875
240,odishabuzz.com,1,0,1834.933837890625
241,geronimo.it,4,0,1191.600830078125
242,sarov.ru,1,0,18.14599609375
243,12voltdata.com,1,0,556.7138671875
244,dealersuite.com,1,0,767.150146484375
245,coindsk.com,1,0,1226.47412109375
246,h5datacenters.com,1,0,59.369140625
247,arsus.jp,1,0,863.219970703125
248,costatic.com,1,0,11.35595703125
249,playzo.de,1,0,1016.925048828125
250,midtownatl.com,1,0,60.43115234375
251,ones-style.jp,1,0,866.1669921875
252,charpente-total-bricoleurs.wifeo.com,2,0,12.552978515625
253,vocabolaudio.com,1,0,262.77392578125
254,turboentrada.com,4,0,198.72998046875
255,nargil.org,1,0,362.905029296875
256,gotvarstvo.bg,1,0,612.249267578125
257,xn--b1ahhahznja9a.xn--p1ai,1,0,1149.02783203125
258,hyipcom.com,1,0,598.35400390625
259,pilkey.com,2,0,65.458984375
260,brokenpaintbrush.com,1,0,626.31396484375
261,guerciotti.it,1,0,639.046875
262,djembefola.com,1,0,650.609130859375
263,21474.tumblr.com,2,0,13.25
264,eliquidmania.com,1,0,176.7958984375
